id,verbo
707,desdoblar
708,desear
709,desechar
710,desembolsar
711,desencantar
712,desenchufar
713,desenganchar
714,desenmarañar
715,desenredar
716,desenrollar
717,desentonar
718,desertar
719,desestimar
720,desfigurar
721,desfilar
722,desgarrar
723,desglosar
724,deshidratar
725,deshilachar
726,deshojar
727,deshonrar
728,deshuesar
729,designar
730,desilusionar
731,desinfectar
732,desinflar
733,desintegrar
734,desistir
735,deslindar
736,deslumbrar
737,desmantelar
738,despedir
739,destruir
740,detener
741,devolver
742,dibujar
743,dirigir
744,disculpar
745,discutir
746,disentir
747,disfrutar
748,disolver
749,disponer
750,distinguir
751,distribuir
752,divertir
753,dividir
754,doblar
755,doler
756,dormir
757,dudar
758,durar
759,danzar
760,delegar
761,deponer
762,derretir
763,descargar
764,descender
765,descolgar
766,descomponer
767,desconocer
768,desembarcar
769,desenvolver
770,deshacer
771,desmayarse
772,desmigajar
773,desnudar
774,desnudarse
775,desobedecer
776,desocupar
777,desovar
778,despachar
779,despedirse
780,despegar
781,despejar
782,desperdiciar
783,despertar
784,despilfarrara
785,desplazar
786,desplegar
787,desplumar
788,despojar
789,despreciar
790,despuntar
791,desquiciar
792,destacar
793,destellar
794,destetar
795,destilar
796,destinar
797,destornillar
798,destripar
799,destronar
800,destrozar
801,desunir
802,desvanecer
803,desvestir
804,desviar
805,detallar
806,detectar
807,determinar
808,detestar
809,detonar
810,devasta
811,devenir
812,devorar
813,dictar
814,difamar
815,diferenciar
816,diferir
817,difundir
818,dilatar
819,dilucidar
820,diluviar
821,dimitir
822,dinamitar
823,dirigirse
824,disciplinar
825,discrepar
826,discriminar
827,disculparse
828,diseminar
829,diseñar
830,disfrazar
831,disgustar
832,disimular
833,disipar
834,disminuir
835,disociar
836,dispara
837,dispensar
838,dispersar
839,disputar
840,distorsionar
841,distraer
842,disuadir
843,divisar
844,divorciar
845,divorciarse
846,doblarse
847,documentar
848,domar
849,dominar
850,donar
851,dorar
852,dormitar
853,dotar
854,drenar
855,driblar
856,duchar
857,ducharse
858,echar
859,eclipsar
860,edificar
861,editar
862,educar
863,ejecutar
864,ejercer
865,ejercitar
866,elaborar
867,elegir
868,elevar
869,eliminar
870,elogiar
871,eludir
872,emancipar
873,embadurnar
874,embalar
875,embaldosar
876,embalsamar
877,embalsar
878,embarcar
879,embelesar
880,emborrachar
881,embotar
882,embotellar
883,embrujar
884,embutir
885,emerger
886,emigrar
887,emitir
888,empacar
889,empalmar
890,empapar
891,empapelar
892,empaquetar
893,empastar
894,empatar
895,empedernir
896,empeorar
897,empezar
898,empeñar
899,emplear
900,empollar
901,emprender
902,empujar
903,empuñar
904,emular
905,emulsionar
906,enarbolar
907,encadenar
908,encajar
909,encalar
910,encandilar
911,encantar
912,encarcelar
913,encargar
914,encarnar
915,encender
916,encerar
917,encolar
918,encontrar
919,encontrarse
920,encorvar
921,encuadernar
922,encuadrar
923,encurtir
924,endosar
925,endulzar
926,enervar
927,enfadar
928,enfardar
929,enfermar
930,enfrentar
931,enganchar
932,engañar
933,engendrar
934,englobar
935,engrapar
936,engrasar
937,engullir
938,enharinar
939,enhebrar
940,enjaular
941,enlatar
942,enmascarar
943,enojar
944,enredar
945,enrollar
946,ensamblar
947,ensanchar
948,ensartar
949,ensayar
950,enseñar
951,ensillar
952,ensuciar
953,ensuciarse
954,entablar
955,entender
956,enterrar
957,entrar
958,entregar
959,entrenar
960,entrever
961,enviar
962,envolver
963,equivaler
964,equivocar
965,errar
966,escalar
967,esconder
968,escribir
969,escuchar
970,esperar
971,esquiar
972,estafar
973,estar
974,estudiar
975,evitar
976,exagerar
977,excluir
978,exigir
979,existir
980,expedir
981,experimentar
982,explicar
983,explorar
984,explotar
985,exponer
986,exportar
987,exprimir
988,expulsar
989,extender
990,extenuar
991,extinguir
992,extraer
993,efectuar
994,emocionar
995,enamorar
996,encerrar
997,encoger
998,enfriar
999,enriquecer
1000,entablillar
1001,entenderse
1002,enterar
1003,entrampar
1004,entremezclar
1005,entretejer
1006,entretener
1007,entrevistar
1008,entusiasmar
1009,enumerar
1010,enunciar
1011,envainar
1012,envejecer
1013,envenenar
1014,envidiar
1015,enyesar
1016,equilibrar
1017,equipar
1018,equivocarse
1019,erguir
1020,erosionar
1021,erradicar
1022,eructar
1023,escabechar
1024,escaldar
1025,escalfar
1026,escalonar
1027,escamotear
1028,escampar
1029,escandir
1030,escapar
1031,escaparse
1032,escoger
1033,escoltar
1034,esconderse
1035,escoplear
1036,escrutar
1037,escudar
1038,esculpir
1039,escupir
1040,escurrir
1041,esforzar
1042,esmaltar
1043,espantar
1044,esparcir
1045,especializar
1046,especular
1047,espesar
1048,espetar
1049,espiar
1050,espirar
1051,espolear
1052,espolvorear
1053,esposar
1054,espumar
1055,esquilar
1056,esquivar
1057,establecer
1058,estacionar
